Time,Temp,Pressure,aX,aY,aZ,gX,gY,gZ,mX,mY,mZ
1629815580.8873556,24.0546875,1030.3843138867676,8,-2016,14352,320,4,-29,0,0,0
1629815582.3995128,24.0546875,1030.3843138867676,0,-2048,14376,325,144,72,0,0,0
1629815583.911644,24.0546875,1030.5741611968597,72,-2016,14376,360,-735,162,0,0,0
1629815585.4241083,24.0546875,1030.1944665766753,8,-3704,15104,160,-438,-412,0,0,0
1629815586.936699,24.0546875,1030.5741611968597,0,-3728,15088,4,256,2,0,0,0
1629815588.4489675,24.0546875,1030.5741611968597,136,-2040,14336,146,4,2,0,0,0
1629815589.960969,24.078125,1030.5741611968597,80,-2048,14976,194,1,122,0,0,0
