Time,Temp,Pressure,aX,aY,aZ,gX,gY,gZ,mX,mY,mZ
1629815759.6849198,24.1328125,1030.5393280627636,128,-2048,14616,528,32,22,12288,0,0
1629815761.1983824,24.1484375,1030.5393280627636,72,-2016,14624,0,-508,68,12288,0,0
1629815762.7074587,24.1328125,1030.5393280627636,8,-1952,15392,-48,16,-248,12288,0,0
1629815764.2165773,24.1328125,1030.5393280627636,0,-1920,14432,39,192,16,12288,0,0
1629815765.7291112,24.1328125,1030.5393280627636,136,-1968,14464,128,-414,76,12288,0,0
1629815767.239358,24.1484375,1030.5393280627636,160,-4064,14720,200,-1020,67,12288,0,0
1629815768.7486026,24.1328125,1030.349452632392,256,-2048,14496,-64,64,12,12288,0,0
1629815770.2602894,24.1171875,1030.5393280627636,32,-1968,14368,64,32,9,12288,0,0
1629815771.7703304,24.15625,1030.349452632392,288,-1984,15488,96,82,24,12288,0,0
1629815773.282345,24.15625,1030.5393280627636,104,-1984,14336,107,-1024,12,12288,0,0
1629815774.7954404,24.1328125,1030.349452632392,288,-1904,14352,4,-480,41,12288,0,0
1629815776.3084888,24.1015625,1030.349452632392,272,-4032,15312,322,6,145,12288,0,0
1629815777.8213787,24.125,1030.349452632392,72,-4064,15392,1,144,32,12288,0,0
1629815779.3343563,24.140625,1030.5393280627636,0,-3840,14720,66,-492,275,12288,0,0
1629815780.8472085,24.140625,1030.5393280627636,296,-1856,15368,368,-244,134,12288,0,0
1629815782.360256,24.1484375,1030.349452632392,48,-1984,14528,64,5,28,12288,0,0
1629815783.8732238,24.1484375,1030.5393280627636,64,-1920,14400,80,-319,0,12288,0,0
1629815785.3854356,24.140625,1030.5393280627636,64,-4096,14336,-126,16,0,12288,0,0
1629815786.898327,24.109375,1030.5393280627636,16,-1920,14400,72,-256,0,12288,0,0
1629815788.4115942,24.140625,1030.5393280627636,408,-1952,14416,12,-498,-308,12288,0,0
1629815789.9245572,24.1484375,1030.5393280627636,168,-2048,14480,-127,64,5,12288,0,0
1629815791.4375825,24.140625,1030.349452632392,8,-2032,14496,364,-399,0,12288,0,0
1629815792.9492874,24.15625,1030.349452632392,0,-2016,14600,18,-493,25,12288,0,0
1629815804.5518076,24.1328125,1030.349452632392,448,-1920,14432,29,112,0,12288,0,0
1629815806.0645542,24.140625,1030.349452632392,448,-1888,14536,-183,-380,-191,12288,0,0
1629815807.5776377,24.1171875,1030.3881991463213,0,-2016,15376,25,-368,-245,12288,0,0
1629815809.0907156,24.171875,1030.5393280627636,256,-2016,14368,96,-300,-320,12288,0,0
1629815810.6037467,24.1484375,1030.5393280627636,136,-2792,14464,20,0,33,12288,0,0
