Time,Temp,Pressure,aX,aY,aZ,gX,gY,gZ,mX,mY,mZ
1629888740.2897358,23.3359375,1027.3176432684122,80,-2016,14352,384,132,256,0,0,0
1629888741.8018663,23.359375,1027.3176432684122,184,-2048,14336,164,128,-48,0,0,0
1629888743.314631,23.3671875,1027.3176432684122,120,-1904,14864,0,-500,97,0,0,0
1629888744.8238587,23.375,1027.128077161113,32,-2048,15184,-511,132,-384,0,0,0
1629888746.3354743,23.3671875,1027.3176432684122,128,-2048,14976,65,34,1,0,0,0
1629888747.8450735,23.3671875,1027.3176432684122,128,-1792,15112,64,-475,3,0,0,0
1629888749.3566582,23.34375,1027.3176432684122,112,-1952,15104,132,-152,209,0,0,0
1629888750.8694506,23.375,1027.1667674344835,32,-1904,14368,-128,133,-238,0,0,0
1629888752.382206,23.375,1027.3176432684122,48,-1920,15112,57,-506,160,0,0,0
1629888753.8944147,23.3671875,1027.3563405718526,192,-1792,14336,58,-972,128,0,0,0
1629888755.40701,23.3671875,1027.1667674344835,288,-1888,14336,256,-223,139,0,0,0
1629888756.9193542,23.3359375,1027.1667674344835,0,-2048,15144,256,16,-85,0,0,0
1629888758.431385,23.390625,1027.1667674344835,280,-1960,14992,4,18,64,0,0,0
1629888759.9432821,23.3671875,1027.1667674344835,128,-2032,14368,-473,-384,258,0,0,0
1629888761.45497,23.390625,1027.1667674344835,192,-2024,14336,2,-334,420,0,0,0
1629888762.967881,23.359375,1027.1667674344835,0,-1856,14360,288,-255,17,0,0,0
1629888764.4808314,23.390625,1027.1667674344835,96,-1792,14336,10,-376,8,0,0,0
1629888765.990189,23.3671875,1027.3950378752932,8,-2024,14376,18,-630,65,0,0,0
1629888767.5002315,23.390625,1027.3950378752932,360,-3776,14400,16,132,-178,0,0,0
1629888769.011619,23.390625,1027.2054577078543,256,-1984,14400,128,-953,-380,0,0,0
1629888770.5241315,23.3984375,1027.2054577078543,8,-1728,14400,264,144,0,0,0,0
1629888772.0363507,23.375,1027.3950378752932,224,-1872,15128,130,-488,146,0,0,0
1629888773.5484054,23.40625,1027.2054577078543,72,-1728,14336,-254,553,-471,0,0,0
1629888775.0603616,23.390625,1027.2054577078543,128,-1792,14400,10,23,18,0,0,0
1629888776.5724823,23.3828125,1027.2054577078543,288,-1776,14360,256,84,17,0,0,0
1629888778.0849085,23.3984375,1027.2054577078543,80,-1792,14336,0,-319,-320,0,0,0
1629888779.5974798,23.359375,1027.2054577078543,32,-2032,15104,16,-375,34,0,0,0
1629888781.1064098,23.3984375,1027.2441479812248,400,-1904,15232,0,6,145,0,0,0
1629888782.6185124,23.390625,1027.2054577078543,256,-1776,14336,-250,5,256,0,0,0
1629888784.1303365,23.390625,1027.2054577078543,8,-1848,15128,8,83,-448,0,0,0
1629888785.6417062,23.375,1027.0545607837162,-128,-2048,14336,141,67,32,0,0,0
1629888787.1533608,23.3828125,1027.2441479812248,160,-1920,14984,72,-248,10,0,0,0
1629888788.6657424,23.3828125,1027.2441479812248,32,-2016,14392,-240,3,136,0,0,0
1629888790.1786442,23.421875,1027.2441479812248,56,-1768,14952,7,-434,113,0,0,0
1629888791.6901472,23.3984375,1027.2441479812248,64,-2048,14360,-264,162,-347,0,0,0
1629888793.2022023,23.4453125,1027.2441479812248,200,-2040,14424,456,-384,9,0,0,0
1629888794.7115586,23.40625,1027.2828382545954,16,-1960,15072,-182,4,-253,0,0,0
