Time,Temp,Pressure,aX,aY,aZ,gX,gY,gZ,mX,mY,mZ
1629815631.7641866,,1030.6129217709286,256,-2032,15368,261,-574,-111,-252,0,36
1629815633.2770889,24.0859375,1030.4230674307664,160,-4096,15376,64,705,292,-252,0,36
1629815634.7893817,24.09375,1030.5741611968597,160,-2048,15360,-111,136,148,-252,0,36
1629815636.3013697,24.0703125,1030.4230674307664,0,-1904,15424,66,-64,64,-252,0,36
1629815637.8113163,24.09375,1030.6129217709286,64,-1912,15400,256,-1008,208,-252,0,36
1629815639.3199456,24.0546875,1030.4230674307664,0,-1792,14480,17,2,193,-252,0,36
1629815640.8332505,24.09375,1030.6129217709286,0,-2040,14400,-380,-751,-406,-252,0,36
1629815642.3443174,24.078125,1030.4230674307664,400,-1920,15368,16,256,4,-252,0,36
1629815643.856247,24.078125,1030.6129217709286,384,-2032,14464,86,23,2,-252,0,36
1629815645.3659334,24.09375,1030.5741611968597,32,-1904,15120,142,20,209,-252,0,36
1629815646.878149,24.0859375,1030.4230674307664,512,-1920,15408,46,5,-378,-252,0,36
1629815648.3904128,24.078125,1030.4618209747655,192,-1920,14400,-104,-176,-495,-252,0,36
1629815649.9033833,24.078125,1030.4230674307664,136,-3968,15392,1,-512,-344,-252,0,36
1629815651.4154289,24.0859375,1030.4618209747655,80,-2008,15232,258,1,128,-252,0,36
1629815652.9274874,24.0859375,1030.6516823449974,80,-2032,14360,64,384,-432,-252,0,36
1629815654.4386926,24.09375,1030.4230674307664,0,-2000,14584,2,0,20,-252,0,36
1629815655.9501019,24.109375,1030.6516823449974,0,-2016,14464,0,0,34,-252,0,36
1629815657.4618921,24.109375,1030.4230674307664,272,-1776,14480,0,-508,112,-252,0,36
1629815658.974088,24.1015625,1030.4618209747655,160,-1944,15368,-159,-62,-478,-252,0,36
1629815660.4861767,24.0703125,1030.4230674307664,32,-3928,15360,6,-248,0,-252,0,36
1629815662.023008,24.09375,1030.4618209747655,16,-1848,14608,282,608,65,-252,0,36
1629815663.532594,24.1015625,1030.4230674307664,24,-2008,15376,129,256,20,-252,0,36
1629815665.0444689,24.1171875,1030.4618209747655,256,-1856,15368,8,272,164,-252,0,36
1629815666.556194,24.0703125,1030.4618209747655,16,-2040,15360,64,-268,0,-252,0,36
1629815668.0671673,24.1015625,1030.6516823449974,128,-2048,14536,298,128,2,-252,0,36
1629815669.5778303,24.0859375,1030.4618209747655,136,-2048,15360,519,16,262,-252,0,36
1629815671.089851,24.125,1030.4618209747655,336,-2008,14528,139,-384,-242,-252,0,36
1629815672.6020029,24.109375,1030.4618209747655,64,-1976,15376,4,32,0,-252,0,36
1629815674.113995,24.0546875,1030.6516823449974,256,-2000,14496,98,-400,128,-252,0,36
1629815675.6266341,24.125,1030.4230674307664,56,-2048,14400,192,-816,449,-252,0,36
1629815677.1393552,24.1015625,1030.4618209747655,16,-2032,14400,40,-640,260,-252,0,36
1629815678.651579,24.078125,1030.6516823449974,8,-2048,14512,1,-496,81,-252,0,36
1629815680.163909,24.0859375,1030.4618209747655,0,-3808,14520,19,-282,129,-252,0,36
1629815681.6760063,24.09375,1030.4618209747655,0,-1776,15424,164,-238,80,-252,0,36
1629815683.188837,24.0703125,1030.4618209747655,256,-1920,15424,512,25,8,-252,0,36
1629815684.6986225,24.0859375,1030.4618209747655,128,-2040,15488,8,-502,52,-252,0,36
1629815686.209964,24.09375,1030.2719596045335,208,-2032,14472,8,36,68,-252,0,36
1629815687.7198575,24.1171875,1030.6516823449974,8,-2048,14528,0,64,68,-252,0,36
1629815689.2322066,24.109375,1030.4618209747655,48,-2048,15424,100,7,-415,-252,0,36
1629815690.7443645,24.140625,1030.5005745187646,40,-2040,14368,80,2,-328,-252,0,36
1629815692.253327,24.09375,1030.4618209747655,96,-2032,14432,48,-288,-438,-252,0,36
1629815693.7633913,24.1328125,1030.4618209747655,72,-2016,14336,-222,-415,20,-252,0,36
1629815695.2778106,24.109375,1030.5005745187646,32,-1792,14592,16,-191,137,-252,0,36
1629815696.7872887,24.1171875,1030.5005745187646,256,-2032,14336,42,-128,-224,-252,0,36
1629815698.2983081,24.09375,1030.6904429190663,64,-1920,15376,92,68,192,-252,0,36
1629815699.8111818,24.1171875,1030.5005745187646,264,-2016,14528,9,0,58,-252,0,36
1629815701.3217995,24.1171875,1030.5005745187646,16,-1920,14600,-479,-432,38,-252,0,36
1629815702.8313828,24.125,1030.5005745187646,256,-1920,14592,56,130,-251,-252,0,36
1629815704.3428473,24.109375,1030.5005745187646,120,-1976,14400,132,-480,128,-252,0,36
1629815705.853383,24.109375,1030.5005745187646,40,-2000,15376,5,368,122,-252,0,36
1629815707.3631728,24.109375,1030.5005745187646,24,-1920,15360,44,-224,-496,-252,0,36
1629815708.8752062,24.125,1030.4618209747655,296,-3840,15376,-232,260,42,-252,0,36
1629815710.3876126,24.125,1030.5005745187646,0,-2032,15368,256,65,137,-252,0,36
1629815711.8975337,24.1328125,1030.5005745187646,0,-2016,15424,49,0,68,-252,0,36
1629815713.409,24.1171875,1030.4618209747655,256,-1920,14400,104,192,0,-252,0,36
1629815714.9209878,24.140625,1030.5005745187646,128,-1704,15384,258,4,32,-252,0,36
1629815716.4302168,24.1171875,1030.3107061184628,64,-2040,14480,256,-252,262,-252,0,36
1629815717.9430842,24.171875,1030.3107061184628,80,-1984,14368,64,-506,81,-252,0,36
1629815719.4527333,24.140625,1030.5005745187646,160,-1888,14632,416,-474,32,-252,0,36
1629815720.9654925,24.09375,1030.5005745187646,64,-3776,15392,4,-826,160,-252,0,36
1629815722.4778771,24.1484375,1030.6904429190663,160,-1920,14416,320,-509,322,-252,0,36
1629815723.9904346,24.109375,1030.3107061184628,416,-1984,15368,152,-352,-256,-252,0,36
1629815725.5031674,24.109375,1030.5005745187646,256,-4032,14464,131,-127,0,-252,0,36
1629815727.0156214,24.078125,1030.3107061184628,16,-1920,14448,-312,-990,144,-252,0,36
1629815728.527846,24.125,1030.5393280627636,128,-2048,15368,-64,-316,96,-252,0,36
1629815730.0409224,24.1015625,1030.5005745187646,8,-1856,15416,-153,36,0,-252,0,36
